price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
35990,2018,jaguar,good,,gas,8490,clean,other,,other,black
17500,2008,toyota,good,6 cylinders,gas,201300,clean,manual,4wd,offroad,black
6000,2007,mercedes-benz,good,6 cylinders,diesel,124000,clean,automatic,rwd,sedan,blue
25990,2018,volvo,good,,diesel,22834,clean,other,,sedan,
6800,2005,,excellent,6 cylinders,diesel,180000,clean,automatic,rwd,bus,yellow
36590,2019,volvo,good,,gas,7618,clean,other,,sedan,white
35990,2019,volvo,good,,other,15567,clean,other,,sedan,red
33590,2019,volvo,good,,gas,10742,clean,other,,sedan,silver
0,2018,chevrolet,like new,6 cylinders,gas,68472,clean,automatic,rwd,van,white
0,2019,chevrolet,like new,6 cylinders,gas,69125,clean,automatic,rwd,van,white
0,2018,chevrolet,like new,6 cylinders,gas,66555,clean,automatic,rwd,van,white
38990,2020,infiniti,good,6 cylinders,gas,5279,clean,other,fwd,other,black
33990,2018,alfa-romeo,good,,gas,23753,clean,other,,hatchback,
27990,2017,lincoln,good,6 cylinders,gas,19492,clean,automatic,,sedan,
28590,2018,audi,good,,gas,31033,clean,other,,SUV,silver
18590,2018,hyundai,good,,gas,22075,clean,other,fwd,sedan,white
29990,2018,audi,good,,other,24996,clean,automatic,,sedan,silver
14990,2016,,good,,gas,65203,clean,other,fwd,hatchback,red
39990,2020,acura,good,6 cylinders,gas,1237,clean,other,,other,white
2500,1966,,good,6 cylinders,gas,47000,clean,manual,rwd,pickup,brown
4000,2006,jeep,good,6 cylinders,gas,281000,clean,automatic,rwd,SUV,black
32990,2019,jeep,good,6 cylinders,other,1423,clean,other,4wd,SUV,yellow
27590,2012,jeep,good,6 cylinders,gas,52172,clean,other,4wd,SUV,black
18590,2017,toyota,good,,gas,30223,clean,other,fwd,sedan,silver
33590,2017,ram,good,,other,45464,clean,other,,pickup,red
40990,2017,jeep,good,,other,30092,clean,other,4wd,other,black
33590,2017,jeep,good,6 cylinders,gas,37919,clean,other,4wd,SUV,black
31590,2017,jeep,good,6 cylinders,gas,35391,clean,other,4wd,SUV,black
30990,2017,jeep,good,6 cylinders,gas,43039,clean,other,4wd,SUV,silver
14590,2012,bmw,good,,other,80465,clean,other,,coupe,black
20590,2018,chrysler,good,6 cylinders,gas,71021,clean,other,rwd,sedan,black
19990,2020,mitsubishi,good,,other,11103,clean,other,,hatchback,orange
10990,2013,nissan,good,,gas,81557,clean,other,fwd,sedan,red
26990,2018,gmc,good,6 cylinders,gas,26514,clean,other,fwd,SUV,
36590,2020,gmc,good,6 cylinders,gas,33026,clean,other,,SUV,black
30990,2020,gmc,good,6 cylinders,gas,35200,clean,other,,SUV,white
24590,2018,lincoln,good,,gas,16081,clean,automatic,fwd,sedan,white
8990,2013,,good,,gas,59072,clean,automatic,rwd,coupe,silver
23990,2015,lexus,good,,other,48462,clean,other,,hatchback,silver
25590,2020,buick,good,,gas,1113,clean,automatic,fwd,SUV,red
52990,2020,jaguar,good,,gas,79,clean,other,,other,white
19000,2017,subaru,like new,4 cylinders,gas,22700,lien,automatic,,SUV,red
28000,2018,acura,excellent,,gas,55000,clean,automatic,fwd,sedan,white
17590,2015,volvo,good,,gas,63512,clean,automatic,,sedan,blue
36590,2020,volvo,good,,gas,18506,clean,other,,sedan,blue
35990,2020,volvo,good,,other,11878,clean,other,,sedan,blue
38590,2019,volvo,good,,gas,14054,clean,automatic,,sedan,black
29590,2018,lincoln,good,6 cylinders,other,33047,clean,automatic,,sedan,white
32590,2018,alfa-romeo,good,,other,14863,clean,other,,hatchback,blue
27590,2018,infiniti,good,6 cylinders,gas,41119,clean,automatic,,SUV,blue
38990,2020,audi,good,,gas,19067,clean,other,,SUV,white
21950,2012,toyota,excellent,4 cylinders,gas,143060,clean,manual,4wd,truck,silver
13950,2011,toyota,good,4 cylinders,gas,151060,clean,automatic,rwd,truck,silver
5900,2001,,,8 cylinders,diesel,200000,clean,automatic,rwd,,
12950,2005,bmw,excellent,6 cylinders,gas,69586,clean,automatic,rwd,convertible,white
18950,2010,ford,good,8 cylinders,gas,151403,clean,automatic,4wd,pickup,black
6995,2011,volkswagen,excellent,5 cylinders,gas,172752,clean,automatic,fwd,sedan,black
